codigo_ibge,nome,uf_sigla,uf_codigo,lon,lat
1100015,Alta Floresta D'Oeste,RO,11,-62.3833,-12.548
1100023,Ariquemes,RO,11,-62.9317,-9.9064
1100031,Cabixi,RO,11,-60.6708,-13.5141
1100049,Cacoal,RO,11,-61.4089,-11.4341
1100056,Cerejeiras,RO,11,-61.3275,-13.1926
1100064,Colorado do Oeste,RO,11,-60.5839,-13.1131
1100072,Corumbiara,RO,11,-61.0567,-12.8994
1100080,Costa Marques,RO,11,-64.0347,-12.1361
1100098,Espigão D'Oeste,RO,11,-60.7443,-11.4317
1100106,Guajará-Mirim,RO,11,-64.5814,-11.307
1100114,Jaru,RO,11,-62.6702,-10.6184
1100122,Ji-Paraná,RO,11,-61.774,-10.396
1100130,Machadinho D'Oeste,RO,11,-62.0633,-9.1871
1100148,Nova Brasilândia D'Oeste,RO,11,-62.2359,-11.5883
1100155,Ouro Preto do Oeste,RO,11,-62.0713,-10.4841
1100189,Pimenta Bueno,RO,11,-60.8666,-11.7756
1100205,Porto Velho,RO,11,-64.4239,-9.1356
1100254,Presidente Médici,RO,11,-61.9625,-11.1866
1100262,Rio Crespo,RO,11,-62.7411,-9.6823
1100288,Rolim de Moura,RO,11,-61.8212,-11.7526
1100296,Santa Luzia D'Oeste,RO,11,-61.7527,-12.0959
1100304,Vilhena,RO,11,-60.2598,-12.0616
1100320,São Miguel do Guaporé,RO,11,-63.0416,-11.6107
1100338,Nova Mamoré,RO,11,-64.5523,-10.4819
1100346,Alvorada D'Oeste,RO,11,-62.6375,-11.2941
1100379,Alto Alegre dos Parecis,RO,11,-61.9649,-12.7181
1100403,Alto Paraíso,RO,11,-63.4649,-9.6722
1100452,Buritis,RO,11,-63.967,-10.1011
1100502,Novo Horizonte do Oeste,RO,11,-62.0695,-11.6972
1100601,Cacaulândia,RO,11,-63.0924,-10.3413
1100700,Campo Novo de Rondônia,RO,11,-63.7997,-10.4902
1100809,Candeias do Jamari,RO,11,-63.3752,-8.9596
1100908,Castanheiras,RO,11,-61.88,-11.4517
1100924,Chupinguaia,RO,11,-60.8806,-12.6683
1100940,Cujubim,RO,11,-62.5181,-8.9937
1101005,Governador Jorge Teixeira,RO,11,-63.171,-10.8047
1101104,Itapuã do Oeste,RO,11,-63.132,-9.0633
1101203,Ministro Andreazza,RO,11,-61.583,-11.1446
1101302,Mirante da Serra,RO,11,-62.8857,-11.1065
1101401,Monte Negro,RO,11,-63.4037,-10.2657
1101435,Nova União,RO,11,-62.5435,-10.9243
1101450,Parecis,RO,11,-61.3572,-12.2689
1101468,Pimenteiras do Oeste,RO,11,-61.4987,-13.1763
1101476,Primavera de Rondônia,RO,11,-61.3253,-11.8799
1101484,São Felipe D'Oeste,RO,11,-61.4672,-11.8962
1101492,São Francisco do Guaporé,RO,11,-63.2008,-12.3715
1101500,Seringueiras,RO,11,-63.2336,-11.8335
1101559,Teixeirópolis,RO,11,-62.2728,-10.9543
1101609,Theobroma,RO,11,-62.2898,-10.0864
1101708,Urupá,RO,11,-62.3999,-11.0822
1101757,Vale do Anari,RO,11,-61.9309,-9.7152
1101807,Vale do Paraíso,RO,11,-62.0914,-10.2914
1200013,Acrelândia,AC,12,-66.9556,-10.0194
1200054,Assis Brasil,AC,12,-69.8747,-10.766
1200104,Brasiléia,AC,12,-69.1893,-10.7629
1200138,Bujari,AC,12,-68.1433,-9.629
1200179,Capixaba,AC,12,-67.8139,-10.4844
1200203,Cruzeiro do Sul,AC,12,-72.8688,-8.0188
1200252,Epitaciolândia,AC,12,-68.6134,-10.8771
1200302,Feijó,AC,12,-70.9455,-9.0231
1200328,Jordão,AC,12,-71.8739,-9.1903
1200336,Mâncio Lima,AC,12,-73.5249,-7.5273
1200344,Manoel Urbano,AC,12,-69.8698,-9.3528
1200351,Marechal Thaumaturgo,AC,12,-72.6203,-9.0732
1200385,Plácido de Castro,AC,12,-67.3424,-10.2777
1200393,Porto Walter,AC,12,-72.7469,-8.5066
1200401,Rio Branco,AC,12,-68.2937,-10.0543
1200427,Rodrigues Alves,AC,12,-73.1979,-7.8453
1200435,Santa Rosa do Purus,AC,12,-70.4554,-9.5021
1200450,Senador Guiomard,AC,12,-67.467,-9.9968
1200500,Sena Madureira,AC,12,-69.4624,-9.8493
1200609,Tarauacá,AC,12,-71.4039,-8.4862
1200708,Xapuri,AC,12,-68.5224,-10.5986
1200807,Porto Acre,AC,12,-67.7045,-9.6942
1300029,Alvarães,AM,13,-65.3345,-3.699
1300060,Amaturá,AM,13,-68.2046,-3.3881
1300086,Anamã,AM,13,-61.7512,-3.485
1300102,Anori,AM,13,-62.1828,-4.2296
1300144,Apuí,AM,13,-59.3871,-7.7735
1300201,Atalaia do Norte,AM,13,-71.8127,-5.7412
1300300,Autazes,AM,13,-59.5726,-3.8104
1300409,Barcelos,AM,13,-63.5207,-0.4246
1300508,Barreirinha,AM,13,-57.1411,-3.0484
1300607,Benjamin Constant,AM,13,-70.355,-5.5721
1300631,Beruri,AM,13,-61.8789,-4.452
1300680,Boa Vista do Ramos,AM,13,-57.6442,-3.1377
1300706,Boca do Acre,AM,13,-67.9293,-8.6001
1300805,Borba,AM,13,-59.3128,-5.0977
1300839,Caapiranga,AM,13,-61.7694,-3.1251
1300904,Canutama,AM,13,-64.1901,-7.7171
1301001,Carauari,AM,13,-67.3563,-5.1821
1301100,Careiro,AM,13,-60.1994,-3.7791
1301159,Careiro da Várzea,AM,13,-59.678,-3.3221
1301209,Coari,AM,13,-64.1824,-4.1431
1301308,Codajás,AM,13,-63.104,-3.1733
1301407,Eirunepé,AM,13,-70.3335,-7.024
1301506,Envira,AM,13,-70.0687,-7.5345
1301605,Fonte Boa,AM,13,-66.2688,-2.4805
1301654,Guajará,AM,13,-72.7916,-7.1106
1301704,Humaitá,AM,13,-62.3535,-7.4321
1301803,Ipixuna,AM,13,-71.3734,-7.0811
1301852,Iranduba,AM,13,-60.4693,-3.0892
1301902,Itacoatiara,AM,13,-58.7922,-3.1838
1301951,Itamarati,AM,13,-68.0664,-6.7465
1302009,Itapiranga,AM,13,-58.5903,-2.5015
1302108,Japurá,AM,13,-68.2265,-1.5419
1302207,Juruá,AM,13,-66.1792,-3.2937
1302306,Jutaí,AM,13,-68.2757,-4.5885
1302405,Lábrea,AM,13,-66.0654,-8.1563
1302504,Manacapuru,AM,13,-61.034,-3.2674
1302553,Manaquiri,AM,13,-60.6591,-3.7726
1302603,Manaus,AM,13,-60.053,-2.6853
1302702,Manicoré,AM,13,-61.5626,-6.9328
1302801,Maraã,AM,13,-64.8871,-2.5766
1302900,Maués,AM,13,-58.2414,-4.9991
1303007,Nhamundá,AM,13,-57.831,-1.4258
1303106,Nova Olinda do Norte,AM,13,-58.6119,-3.9619
1303205,Novo Airão,AM,13,-61.8382,-2.027
1303304,Novo Aripuanã,AM,13,-60.5813,-6.9239
1303403,Parintins,AM,13,-56.9076,-2.667
1303502,Pauini,AM,13,-68.0535,-7.6903
1303536,Presidente Figueiredo,AM,13,-59.9604,-1.2987
1303569,Rio Preto da Eva,AM,13,-59.6384,-2.5106
1303601,Santa Isabel do Rio Negro,AM,13,-65.6775,-0.3535
1303700,Santo Antônio do Içá,AM,13,-68.7726,-3.0858
1303809,São Gabriel da Cachoeira,AM,13,-68.0257,0.325
1303908,São Paulo de Olivença,AM,13,-69.5677,-4.6177
1303957,São Sebastião do Uatumã,AM,13,-58.7248,-1.9448
1304005,Silves,AM,13,-58.6202,-2.7954
1304062,Tabatinga,AM,13,-69.5955,-4.0093
1304104,Tapauá,AM,13,-65.6397,-6.1777
1304203,Tefé,AM,13,-65.563,-4.511
1304237,Tonantins,AM,13,-67.8552,-2.6608
1304260,Uarini,AM,13,-65.3981,-3.1402
1304302,Urucará,AM,13,-58.7802,-1.224
1304401,Urucurituba,AM,13,-57.7914,-2.852
1400027,Amajari,RR,14,-62.7223,3.7631
1400050,Alto Alegre,RR,14,-62.7896,3.0715
1400100,Boa Vista,RR,14,-60.6585,3.1099
1400159,Bonfim,RR,14,-60.0922,2.7919
1400175,Cantá,RR,14,-60.5262,2.2559
1400209,Caracaraí,RR,14,-61.341,0.7438
1400233,Caroebe,RR,14,-59.4822,1.0993
1400282,Iracema,RR,14,-62.6489,2.2662
1400308,Mucajaí,RR,14,-61.9515,2.5194
1400407,Normandia,RR,14,-60.0736,3.8795
