iso,nome,lon,lat
CHN,China,105.668,37.307
USA,Estados Unidos,-90.365,38.275
ARG,Argentina,-65.086,-37.017
DEU,Alemanha,10.692,51.044
IND,Índia,83.588,23.966
NLD,Países Baixos,5.491,52.103
MEX,México,-103.131,23.874
ESP,Espanha,-4.451,40.175
ITA,Itália,12.627,43.087
CHL,Chile,-71.425,-37.957
JPN,Japão,135.995,35.72
RUS,Rússia,91.152,59.273
KOR,Coreia do Sul,127.467,36.715
SGP,Singapura,103.82,1.35
CAN,Canadá,-90.743,56.403
FRA,França,3.301,47.004
GBR,Reino Unido,-3.085,53.907
VNM,Vietname,105.939,16.706
PRY,Paraguai,-57.571,-23.302
SAU,Arábia Saudita,43.594,24.041
IDN,Indonésia,121.594,-2.039
BEL,Bélgica,4.432,50.718
THA,Tailândia,100.662,13.181
TUR,Turquia,36.752,38.401
URY,Uruguai,-56.139,-32.697
COL,Colômbia,-72.653,4.491
CHE,Suíça,8.306,46.797
EGY,Egito,31.638,28.104
MYS,Malásia,114.768,3.68
PER,Peru,-74.081,-7.752
PRT,Portugal,-8.039,39.764
ARE,Emirados Árabes Unidos,54.244,24.195
TWN,Taiwan,121.107,23.861
DZA,Argélia,3.016,29.666
SWE,Suécia,16.564,62.74
IRN,Irão,53.345,33.303
BGD,Bangladesh,90.612,23.399
MAR,Marrocos,-9.425,28.77
PHL,Filipinas,121.816,15.369
POL,Polónia,19.476,51.745
BOL,Bolívia,-64.13,-16.336
NGA,Nigéria,8.348,9.732
NOR,Noruega,18.087,66.232
HKG,Hong Kong,114.15,22.28
ZAF,África do Sul,24.814,-28.588
DNK,Dinamarca,9.623,56.278
OMN,Omã,56.566,20.859
ISR,Israel,35.186,32.06
AUS,Austrália,133.246,-23.804
IRL,República da Irlanda,-7.724,53.531
PAK,Paquistão,69.444,30.79
AUT,Áustria,13.484,47.645
PAN,Panamá,-80.317,8.496
FIN,Finlândia,25.772,65.477
IRQ,Iraque,44.399,33.44
ECU,Equador,-78.704,-1.637
VEN,Venezuela,-66.851,7.214
AGO,Angola,17.38,-10.938
PRI,Porto Rico,-66.432,18.276
GUY,Guiana,-58.898,4.481
QAT,Catar,51.151,25.257
CZE,Chéquia,15.848,49.779
CIV,Costa do Marfim,-6.345,7.945
DOM,República Dominicana,-70.493,18.726
TTO,Trinidad e Tobago,-61.458,10.48
BGR,Bulgária,24.688,42.893
HUN,Hungria,19.245,47.464
ROU,Roménia,25.188,45.857
GTM,Guatemala,-90.269,15.532
GHA,Gana,-0.97,8.29
JOR,Jordânia,36.651,31.133
CRI,Costa Rica,-84.162,9.823
GRC,Grécia,23.138,39.796
LBY,Líbia,16.638,28.477
SVN,Eslovénia,14.996,46.106
SVK,Eslováquia,19.352,48.765
LBR,Libéria,-9.143,6.755
LBN,Líbano,35.852,33.797
BHS,Bahamas,-77.945,24.534
COD,República Democrática do Congo,23.001,-3.837
GAB,Gabão,11.893,-0.337
KWT,Kuwait,47.741,29.338
GEO,Geórgia,43.364,42.257
SEN,Senegal,-14.592,13.878
TUN,Tunísia,9.842,34.017
TGO,Togo,0.87,8.885
YEM,Iémen,46.472,15.512
CUB,Cuba,-79.733,21.723
GIN,Guiné,-10.985,10.42
ISL,Islândia,-19.267,65.278
CMR,Camarões,13.169,6.906
MRT,Mauritânia,-12.425,18.831
KAZ,Cazaquistão,65.253,47.264
NZL,Nova Zelândia,175.481,-38.198
KHM,Camboja,104.894,12.642
SLV,El Salvador,-88.918,13.854
HND,Honduras,-86.308,14.747
LKA,Sri Lanka,80.865,7.63
UZB,Uzbequistão,65.29,41.153
TKM,Turquemenistão,58.457,39.329
NIC,Nicarágua,-84.978,13.079
EST,Estónia,25.925,58.606
UKR,Ucrânia,30.451,48.688
COG,República do Congo,14.927,-0.92
LUX,Luxemburgo,5.98,49.811
GMB,Gâmbia,-15.286,13.501
LVA,Letónia,24.94,56.857
BEN,Benim,2.327,9.808
HRV,Croácia,16.383,44.901
LTU,Lituânia,24.016,55.202
ALB,Albânia,20.129,41.228
SRB,Sérvia,20.94,43.83
SOM,Somália,46.84,6.418
KEN,Quénia,37.824,1.115
JAM,Jamaica,-77.35,18.187
GNQ,Guiné Equatorial,10.071,1.589
HTI,Haiti,-72.701,18.84
ARM,Arménia,45.31,39.945
CYP,Chipre,33.245,35.024
MNE,Montenegro,19.446,42.742
SLE,Serra Leoa,-11.703,8.605
SUR,Suriname,-55.87,3.697
MOZ,Moçambique,34.866,-17.913
MMR,Myanmar,97.153,20.001
TZA,Tanzânia,34.343,-6.515
MKD,Macedónia do Norte,21.688,41.674
LAO,Laos,103.693,18.284
SYR,Síria,37.951,35.146
BRN,Brunei,114.999,4.746
ETH,Etiópia,39.209,8.983
NAM,Namíbia,17.929,-21.561
AZE,Azerbaijão,47.405,40.373
BIH,Bósnia e Herzegovina,17.872,44.154
DJI,Djibouti,42.523,11.801
MDG,Madagáscar,46.989,-17.972
TCD,Chade,17.996,12.996
BLZ,Belize,-88.63,17.418
BLR,Bielorrússia,28.221,53.376
NCL,Nova Caledónia,165.512,-21.178
TLS,Timor-Leste,125.907,-8.745
BFA,Burkina Faso,-1.916,12.112
UGA,Uganda,31.993,1.259
MDA,Moldávia,28.47,47.047
ZMB,Zâmbia,27.978,-12.835
ZWE,Zimbábue,29.658,-18.87
MWI,Malawi,34.063,-12.914
CAF,República Centro-Africana,20.703,6.294
GNB,Guiné-Bissau,-15.214,11.979
MNG,Mongólia,104.585,47.205
PNG,Papua-Nova Guiné,146.213,-7.771
AFG,Afeganistão,67.769,34.828
KGZ,Quirguistão,73.977,41.364
LSO,Lesoto,28.371,-29.587
NPL,Nepal,84.558,28.209
NER,Níger,8.737,15.479
VUT,Vanuatu,166.891,-15.377
BWA,Botsuana,24.472,-22.477
RWA,Ruanda,29.888,-1.975
BTN,Butão,90.615,27.468
MLI,Mali,-5.803,14.079
SDN,Sudão,29.337,12.808
FJI,Fiji,178.019,-17.741
BDI,Burundi,30.042,-3.233
TJK,Tajiquistão,70.788,38.513
SWZ,Essuatíni,31.437,-26.419
ERI,Eritreia,39.588,14.712
PRK,Coreia do Norte,127.329,39.886
ATF,Terras Austrais e Antárticas Francesas,69.463,-49.116
SLB,Ilhas Salomão,159.132,-7.898
FLK,Ilhas Malvinas,-59.585,-51.735
GRL,Groenlândia,-41.031,74.148
