capitulo_ncm,descricao
10,Cereais (milho etc.)
11,"""Produtos da indústria de moagem"
12,Soja e oleaginosas
13,Cap. 13
15,Óleos e gorduras
16,"Preparações de carne, de peixes ou de crustáceos, de moluscos ou de outros invertebrados aquáticos"
17,Açúcares
18,Cacau e suas preparações
19,"""Preparações à base de cereais, farinhas, amidos, féculas ou leite"
20,"Preparações de produtos hortícolas, de frutas ou de outras partes de plantas"
21,Preparações alimentícias diversas
22,"Bebidas, líquidos alcoólicos e vinagres"
23,Farelos e rações
24,Tabaco e seus sucedâneos manufaturados
25,"""Sal"
26,Minérios (ferro etc.)
27,Petróleo e combustíveis
28,"""Produtos químicos inorgânicos"
29,Químicos orgânicos
30,Produtos farmacêuticos
31,Adubos e fertilizantes
32,"""Extratos tanantes e tintoriais"
33,"""Óleos essenciais e resinóides"
34,"Sabões, agentes orgânicos de superfície, preparações para lavagem, preparações lubrificantes, ceras artificiais, ceras preparadas, produtos de conservação e limpeza, velas e artigos semelhantes, massas ou pastas para modelar, """"ceras"""" para dentistas e Comp"
35,"""Matérias albuminóides"
36,"""Pólvoras e explosivos"
38,Produtos diversos das indústrias químicas
39,Plásticos
40,Borracha e suas obras
41,"Peles, exceto as peles com pelo, e couros"
42,"""Obras de couro"
44,Madeira
46,Cap. 46
47,Celulose e papel
48,"""Papel e cartão"
49,"""Livros, jornais, gravuras e outros produtos das indústrias gráficas"
52,Algodão
53,"""Outras fibras têxteis vegetais"
55,"Fibras sintéticas ou artificiais, descontínuas"
56,"""Pastas (ouates), feltros e falsos tecidos"
57,"Tapetes e outros revestimentos para pisos (pavimentos), de matérias têxteis"
59,"""Tecidos impregnados, revestidos, recobertos ou estratificados"
61,"Vestuário e seus acessórios, de malha"
62,"Vestuário e seus acessórios, exceto de Malha"
63,"""Outros artefatos têxteis confeccionados"
64,"""Calçados, polainas e artefatos semelhantes"
65,"Chapéus e artefatos de uso semelhante, e suas partes"
68,"Obras de pedra, gesso, cimento, amianto, mica ou de matérias semelhantes"
69,Produtos cerâmicos
70,Vidro e suas obras
71,Pedras e metais preciosos
72,Ferro e aço
73,"Obras de ferro fundido, ferro ou aço"
74,Cobre e suas obras
75,Níquel e suas obras
76,Alumínio
78,Chumbo e suas obras
79,Zinco e suas obras
81,"""Outros metais comuns"
82,"Ferramentas, artefatos de cutelaria e talheres, e suas partes, de metais comuns"
83,Obras diversas de metais comuns
84,Máquinas e equipamentos
85,Máquinas elétricas
86,"""Veículos e material para vias férreas ou semelhantes, e suas partes"
87,Veículos
88,Aeronaves
89,Embarcações e estruturas flutuantes
90,"""Instrumentos e aparelhos de óptica, de fotografia, de cinematografia, de medida, de controle ou de precisão"
91,Artigos de relojoaria
93,"""Armas e munições"
94,"""Móveis"
95,"""Brinquedos, jogos, artigos para divertimento ou para esporte"
96,Obras diversas
97,"Objetos de arte, de coleção e antiguidades"
01,Animais vivos
02,Carnes
03,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos"
04,"""Leite e lacticínios"
05,"Outros produtos de origem animal, não especificados nem compreendidos noutros Capítulos"
06,Plantas vivas e produtos de floricultura
07,"Produtos hortícolas, plantas, raízes e tubérculos, comestíveis."
08,"""Frutas"
09,"Café, chá e mate"
ZZ,Outros
