iso,ano,exp,imp
CHN,2025,99940244710,70915558414
USA,2025,37682246914,45141941682
ARG,2025,18105303283,12934607997
DEU,2025,6524224630,14403037092
IND,2025,6865880767,8339882501
NLD,2025,11726736048,2371345598
MEX,2025,7728866863,6214583742
ESP,2025,8783248496,3820098262
ITA,2025,5361690529,7053577569
CHL,2025,7176227117,4627976235
JPN,2025,5488854671,6051415101
RUS,2025,1522675744,9409029151
KOR,2025,5467051548,5299025023
SGP,2025,7353096562,3302894254
CAN,2025,7251870870,3139581087
FRA,2025,3097239055,7201084581
GBR,2025,4026752113,3796645012
VNM,2025,3761049204,3669860692
PRY,2025,4012595283,3404687126
SAU,2025,3115976649,3419420975
IDN,2025,4131531563,2389584351
BEL,2025,4038038410,2197436135
THA,2025,3136923611,2552244020
TUR,2025,4145459591,1418232256
URY,2025,3536539767,1992215917
COL,2025,3434103260,1955221782
CHE,2025,2023080051,3175680658
EGY,2025,3726019472,1389923966
MYS,2025,3531841639,1574601512
PER,2025,3181688675,1385596390
PRT,2025,3297605545,1249479507
ARE,2025,3764678589,628190822
TWN,2025,1300966631,2524129840
DZA,2025,2331507224,1262191932
SWE,2025,902677425,2453541140
IRN,2025,2920808446,84594155
BGD,2025,2709978167,266401596
MAR,2025,1365573344,1429900114
PHL,2025,2361702389,330919716
POL,2025,1551701444,1036022084
BOL,2025,1311772718,1264035553
NGA,2025,1019615250,1330664582
NOR,2025,1536222849,806949305
HKG,2025,1424012462,893353160
ZAF,2025,1467293912,804839244
DNK,2025,603850630,1612730993
OMN,2025,1199152476,793476016
ISR,2025,568647230,1345498243
AUS,2025,777420635,1038220829
IRL,2025,452820825,1353979897
PAK,2025,1565120588,171707509
AUT,2025,139189855,1543366680
PAN,2025,1587220919,16359674
FIN,2025,504750667,1028557178
IRQ,2025,1484664083,2713594
ECU,2025,1097103973,114828958
VEN,2025,837893338,349141860
AGO,2025,592520028,447083615
PRI,2025,304629637,727506270
GUY,2025,449666289,558944737
QAT,2025,373426512,591879648
CZE,2025,65426491,793226867
CIV,2025,224866130,603474218
DOM,2025,762347620,50169431
TTO,2025,309950210,502410695
BGR,2025,656598383,106528566
HUN,2025,196529402,527272749
ROU,2025,291401576,422893089
GTM,2025,568761153,113619062
GHA,2025,395904798,279782250
JOR,2025,547574864,80224568
CRI,2025,433310518,159141958
GRC,2025,510394622,79651282
LBY,2025,587458064,2362435
SVN,2025,358083727,230453093
SVK,2025,25192414,486143140
LBR,2025,494058755,123761
LBN,2025,461705966,32011356
BHS,2025,198829424,213150290
COD,2025,250000694,159370498
GAB,2025,108499244,297540343
KWT,2025,351302829,51399129
GEO,2025,385268244,6104107
SEN,2025,378452739,7625377
TUN,2025,289172783,94388821
TGO,2025,369322835,54238
YEM,2025,356988183,11016
CUB,2025,283403774,2933682
GIN,2025,244262164,668
ISL,2025,219392795,13397247
CMR,2025,188404738,39438360
MRT,2025,224826569,19989
KAZ,2025,45082547,177157899
NZL,2025,133918375,71052960
KHM,2025,35459160,168770511
SLV,2025,187895514,10903847
HND,2025,170456129,26336138
LKA,2025,98351061,90010979
UZB,2025,119134965,64480391
TKM,2025,18779075,162508773
NIC,2025,155403196,2757388
EST,2025,102339397,55480840
UKR,2025,71523943,86206801
COG,2025,156160462,1019071
LUX,2025,82501820,70456434
GMB,2025,146470497,13594
LVA,2025,98505818,41673057
BEN,2025,135705925,533007
HRV,2025,96479936,35645158
LTU,2025,41820440,86136850
ALB,2025,125015752,2633403
SRB,2025,65733996,60721267
SOM,2025,126090568,7106
KEN,2025,122745666,1548570
JAM,2025,98372387,325399
GNQ,2025,43235603,38891567
HTI,2025,70802236,1334433
ARM,2025,50017581,16623605
CYP,2025,62260141,3128677
MNE,2025,59374083,97319
SLE,2025,57435308,91018
SUR,2025,54867831,19811
MOZ,2025,42635595,9529815
MMR,2025,38592874,13426476
TZA,2025,47802004,1271346
MKD,2025,19730960,25116835
LAO,2025,21692151,21061154
SYR,2025,38605117,333033
BRN,2025,901107,33028919
ETH,2025,31067828,1177804
NAM,2025,27756993,1233295
AZE,2025,26974225,761470
BIH,2025,11871597,11268698
DJI,2025,20915380,1
MDG,2025,12566843,5599750
TCD,2025,16599229,77716
BLZ,2025,13885562,286349
BLR,2025,8807554,5234180
NCL,2025,13006268,46928
TLS,2025,11667595,2763
BFA,2025,10457269,550624
UGA,2025,8997619,58578
MDA,2025,1401812,6644870
ZMB,2025,7079423,424016
ZWE,2025,5394657,1887568
MWI,2025,2940279,3768540
CAF,2025,6437163,61619
GNB,2025,4960249,426948
MNG,2025,4091592,935183
PNG,2025,4295393,81722
AFG,2025,3214373,944759
KGZ,2025,553368,3073125
LSO,2025,3487898,6326
NPL,2025,2862660,283912
NER,2025,2963036,34263
VUT,2025,2680148,5981
BWA,2025,1621208,832737
RWA,2025,2101747,6772
BTN,2025,1137257,737913
MLI,2025,1713938,4063
SDN,2025,1313824,219530
FJI,2025,1270033,6100
BDI,2025,692908,463
TJK,2025,368962,76810
SWZ,2025,173308,236915
ERI,2025,38513,242090
PRK,2025,127,275987
ATF,2025,160883,3634
SLB,2025,132603,0
FLK,2025,130520,30
GRL,2025,4173,0
