iso,capitulo_ncm,ano,exp,imp
CHN,12,2025,34756442214,42886358
CHN,26,2025,20998184812,3017613
CHN,27,2025,20548301154,115434750
CHN,85,2025,89428032,15188898596
CHN,84,2025,193097571,12388933988
CHN,02,2025,9813854433,0
CHN,87,2025,10374022,6327584672
CHN,29,2025,114462641,5752781614
CHN,47,2025,4919951867,9471693
CHN,72,2025,1660680996,2561674691
CHN,38,2025,39362538,2953941960
CHN,31,2025,625600,2908208954
CHN,ZZ,2025,6795478830,22662723525
USA,27,2025,6449450342,10712433358
USA,84,2025,3328113633,11947300010
USA,72,2025,5406005928,124816310
USA,88,2025,3050637250,2218758200
USA,85,2025,1555855235,1918728055
USA,39,2025,252610456,2652438109
USA,30,2025,127242144,2651996239
USA,90,2025,386032924,2030134120
USA,29,2025,281519047,1899070561
USA,09,2025,1944338008,4133601
USA,28,2025,943042911,1000733102
USA,38,2025,74906479,1834346591
USA,ZZ,2025,13882492557,6147053426
ARG,87,2025,7833299676,5529480405
ARG,84,2025,1886425370,541052759
ARG,10,2025,13223503,1524804384
ARG,39,2025,750487029,565869075
ARG,27,2025,442913227,684032083
ARG,85,2025,760799520,96323536
ARG,72,2025,736399848,20547262
ARG,04,2025,11016319,624076075
ARG,38,2025,341792571,230404100
ARG,76,2025,207958714,357455556
ARG,40,2025,397323453,104641803
ARG,48,2025,413443111,14427835
ARG,ZZ,2025,4310220942,2641493124
DEU,84,2025,499115773,3580455972
DEU,09,2025,2339815039,2809729
DEU,30,2025,10345939,2112196691
DEU,87,2025,79295093,1447874006
DEU,85,2025,138789278,1166952837
DEU,29,2025,59499710,1215537359
DEU,90,2025,43423372,1056684559
DEU,26,2025,974699085,646736
DEU,39,2025,38545055,643354783
DEU,23,2025,635658888,41472767
DEU,38,2025,8703041,571185235
DEU,73,2025,34801367,403772663
DEU,ZZ,2025,1661532990,2160093755
IND,27,2025,2005058270,1146147360
IND,29,2025,55888067,2002063820
IND,17,2025,1076640999,378477
IND,84,2025,110761336,957588118
IND,15,2025,991837478,21525816
IND,30,2025,24342250,663033829
IND,26,2025,667219516,27368
IND,38,2025,45213354,614757986
IND,87,2025,11208604,581194972
IND,52,2025,413995242,28572595
IND,72,2025,238398677,157259162
IND,85,2025,24260096,283283205
IND,ZZ,2025,1201056878,1884049793
NLD,27,2025,3476286116,541801922
NLD,23,2025,774263120,43871634
NLD,72,2025,799019346,2352053
NLD,02,2025,796166549,0
NLD,26,2025,723384938,15873550
NLD,20,2025,652987415,80414997
NLD,47,2025,659545497,342
NLD,09,2025,626003949,21406
NLD,08,2025,568741735,0
NLD,84,2025,76208126,420061436
NLD,12,2025,431458857,3927120
NLD,29,2025,171933999,69077318
NLD,ZZ,2025,1970736401,1193943820
MEX,87,2025,1348431458,1756588778
MEX,84,2025,950257422,1150495312
MEX,02,2025,1495367399,0
MEX,85,2025,289123854,1013221543
MEX,90,2025,61343668,583428039
MEX,12,2025,490348796,6943702
MEX,72,2025,377859553,3608280
MEX,40,2025,212044619,122119146
MEX,88,2025,203484810,118131347
MEX,09,2025,263536008,1733673
MEX,39,2025,115819783,118960795
MEX,44,2025,226640468,111395
MEX,ZZ,2025,1694609025,1339241732
ESP,27,2025,3346174000,486683542
ESP,12,2025,1607861822,5052467
ESP,26,2025,693031265,592357
ESP,23,2025,657499886,7571875
ESP,84,2025,98954509,498614327
ESP,30,2025,13525551,521692705
ESP,09,2025,481080184,4096561
ESP,29,2025,93062011,351075538
ESP,10,2025,256068563,174916
ESP,88,2025,176442773,47177188
ESP,08,2025,144670756,74071456
ESP,39,2025,55187786,159874424
ESP,ZZ,2025,1159689390,1663420906
ITA,84,2025,170954388,2366468924
ITA,09,2025,1348221118,7148920
ITA,30,2025,17377961,856914380
ITA,47,2025,802008470,13033
ITA,27,2025,751995152,19825017
ITA,87,2025,20039862,579715940
ITA,85,2025,61068561,439860048
ITA,02,2025,337015774,13682506
ITA,90,2025,32393601,254317252
ITA,29,2025,56618278,226473078
ITA,39,2025,32771638,248074419
ITA,72,2025,201713423,70834209
ITA,ZZ,2025,1529512303,1970249843
CHL,74,2025,12621700,2118628548
CHL,27,2025,1892910565,5700987
CHL,02,2025,1263576602,14585075
CHL,87,2025,1162198484,36234734
CHL,03,2025,232052,852764816
CHL,84,2025,462768854,44493403
CHL,39,2025,293134971,61705774
CHL,08,2025,11898632,275963544
CHL,85,2025,277198969,10177951
CHL,26,2025,510029,256308029
CHL,22,2025,13017979,213584301
CHL,48,2025,188485269,27090312
CHL,ZZ,2025,1597673011,710738761
JPN,84,2025,81387642,1444783901
JPN,87,2025,14514517,1421727242
JPN,02,2025,1234081161,464052
JPN,09,2025,1034605340,285516
JPN,26,2025,961245708,1224
JPN,85,2025,83175464,816974126
JPN,90,2025,3918049,538126854
JPN,72,2025,294043481,164806755
JPN,76,2025,435956508,10867214
JPN,29,2025,69139209,300175113
JPN,30,2025,9247338,297107279
JPN,12,2025,269713220,2136100
JPN,ZZ,2025,997827034,1053959725
RUS,27,2025,1181595,5058473221
RUS,31,2025,54705,4002993065
RUS,02,2025,585460204,0
RUS,09,2025,460416577,0
RUS,12,2025,181823420,0
RUS,28,2025,11263026,85153569
RUS,21,2025,78679559,3982695
RUS,24,2025,78638727,0
RUS,84,2025,22365109,32119325
RUS,29,2025,18708602,27431024
RUS,72,2025,2455,43882082
RUS,25,2025,181166,40539006
