codigo_ibge,ano_censo,ano_pib,populacao,area_km2,densidade,pib_mil_brl
1100015,2022,2023,21494,7067.127,3.04,1046343
1100023,2022,2023,96833,4426.571,21.88,4383815
1100031,2022,2023,5351,1314.352,4.07,300832
1100049,2022,2023,86887,3793,22.91,3848468
1100056,2022,2023,15890,2783.3,5.71,1006389
1100064,2022,2023,15663,1451.06,10.79,580899
1100072,2022,2023,7519,3060.321,2.46,509566
1100080,2022,2023,12627,4987.177,2.53,413943
1100098,2022,2023,29414,4518.038,6.51,1023973
1100106,2022,2023,39387,24856.877,1.58,1145034
1100114,2022,2023,50591,2944.128,17.18,2515558
1100122,2022,2023,124333,6896.649,18.03,5824472
1100130,2022,2023,30707,8509.27,3.61,1055806
1100148,2022,2023,15679,1703.008,9.21,731952
1100155,2022,2023,35044,1969.85,17.79,1275479
1100189,2022,2023,35079,6241.016,5.62,2124340
1100205,2022,2023,460434,34090.952,13.51,25402193
1100254,2022,2023,19327,1758.465,10.99,776281
1100262,2022,2023,3471,1717.64,2.02,265160
1100288,2022,2023,56406,1457.811,38.69,2287631
1100296,2022,2023,7419,1197.796,6.19,291887
1100304,2022,2023,95832,11699.15,8.19,5115785
1100320,2022,2023,21635,7460.117,2.9,1549192
1100338,2022,2023,25444,10070.49,2.53,1060566
1100346,2022,2023,13117,3029.189,4.33,486626
1100379,2022,2023,11479,3958.273,2.9,575129
1100403,2022,2023,16320,2651.822,6.15,667923
1100452,2022,2023,27992,3265.809,8.57,1221008
1100502,2022,2023,7667,843.446,9.09,331958
1100601,2022,2023,4150,1961.778,2.12,238989
1100700,2022,2023,8844,3442.005,2.57,455251
1100809,2022,2023,22310,6843.868,3.26,1001610
1100908,2022,2023,3233,892.841,3.62,138594
1100924,2022,2023,9324,5126.723,1.82,673990
1100940,2022,2023,14863,3863.946,3.85,582148
1101005,2022,2023,8001,5067.384,1.58,320123
1101104,2022,2023,8548,4081.58,2.09,340162
1101203,2022,2023,6466,798.083,8.1,440282
1101302,2022,2023,9235,1191.875,7.75,380179
1101401,2022,2023,11548,1931.378,5.98,526990
1101435,2022,2023,6200,807.125,7.68,193557
1101450,2022,2023,4125,2548.683,1.62,201510
1101468,2022,2023,2156,6014.733,0.36,355185
1101476,2022,2023,3076,605.692,5.08,131193
1101484,2022,2023,5258,541.647,9.71,177906
1101492,2022,2023,16286,10948.593,1.49,716411
1101500,2022,2023,11171,3773.505,2.96,446997
1101559,2022,2023,4256,459.978,9.25,156426
1101609,2022,2023,8113,2197.413,3.69,307754
1101708,2022,2023,10725,831.857,12.89,370214
1101757,2022,2023,7788,3135.106,2.48,257311
1101807,2022,2023,6479,965.676,6.71,225187
1200013,2022,2023,14021,1811.613,7.74,502663
1200054,2022,2023,8100,4979.073,1.63,187366
1200104,2022,2023,26000,3928.174,6.62,929800
1200138,2022,2023,12917,3034.869,4.26,365419
1200179,2022,2023,10392,1705.824,6.09,530657
1200203,2022,2023,91888,8783.47,10.46,2680143
1200252,2022,2023,18757,1652.674,11.35,793427
1200302,2022,2023,35426,27976.874,1.27,741344
1200328,2022,2023,9222,5357.227,1.72,150648
1200336,2022,2023,19294,5451.617,3.54,339224
1200344,2022,2023,11996,10630.6,1.13,262614
1200351,2022,2023,17093,8190.953,2.09,288045
1200385,2022,2023,16560,1952.555,8.48,764818
1200393,2022,2023,10735,6446.385,1.67,200512
1200401,2022,2023,364756,8835.154,41.28,12960966
1200427,2022,2023,14938,3076.342,4.86,293645
1200435,2022,2023,6723,6155.858,1.09,124070
1200450,2022,2023,21454,2320.169,9.25,1111821
1200500,2022,2023,41343,23759.512,1.74,972648
1200609,2022,2023,43467,20169.485,2.16,932080
1200708,2022,2023,18243,5350.586,3.41,626026
1200807,2022,2023,16693,2604.417,6.41,533386
1300029,2022,2023,15866,5923.461,2.68,242584
1300060,2022,2023,10819,4754.109,2.28,134732
1300086,2022,2023,9962,2446.121,4.07,154694
1300102,2022,2023,17194,6036.38,2.85,297171
1300144,2022,2023,20647,54240.545,0.38,386133
1300201,2022,2023,15314,76507.617,0.2,206769
