regiao_id,ano_censo,ano_pib,populacao,area_km2,densidade,pib_mil_brl
BR,2022,2023,203080756,8510417.771,23.86,10943345439
RO,2022,2023,1581196,237754.172,6.65,76456179
AC,2022,2023,830018,164173.429,5.06,26291321
AM,2022,2023,3941613,1559255.881,2.53,161794976
RR,2022,2023,636707,223644.53,2.85,25124805
PA,2022,2023,8120131,1245870.704,6.52,254546511
AP,2022,2023,733759,142470.762,5.15,28020120
TO,2022,2023,1511460,277423.627,5.45,64317699
MA,2022,2023,6776699,329651.496,20.56,149227195
PI,2022,2023,3271199,251755.481,12.99,80916856
CE,2022,2023,8794957,148894.447,59.07,232239257
RN,2022,2023,3302729,52809.599,62.54,101740275
PB,2022,2023,3974687,56467.242,70.39,96963174
PE,2022,2023,9058931,98067.877,92.37,270474919
AL,2022,2023,3127683,27830.661,112.38,89688932
SE,2022,2023,2210004,21938.188,100.74,60816662
BA,2022,2023,14141626,564760.429,25.04,430987853
MG,2022,2023,20539989,586513.983,35.02,971977551
ES,2022,2023,3833712,46074.448,83.21,209829732
RJ,2022,2023,16055174,43750.425,366.97,1172871443
SP,2022,2023,44411238,248219.485,178.92,3444814033
PR,2022,2023,11444380,199298.981,57.42,670919162
SC,2022,2023,7610361,95730.69,79.5,513392973
RS,2022,2023,10882965,281707.151,38.63,650107022
MS,2022,2023,2757013,357142.082,7.72,184402118
MT,2022,2023,3658649,903208.361,4.05,273008586
GO,2022,2023,7056495,340242.859,20.74,336746975
DF,2022,2023,2817381,5760.784,489.06,365669108
